tipolista,dataimportazione,dataaggiornamento,nomefile,lunghezzafile,errore,md5file,aggiornamenti,numerosoggetti
aq,2026-07-04 19:01:54.238+00,2026-07-03 21:00:04.445+00,onu.xml,2171560,f,,N,-1
eu,2026-07-04 19:01:58.858+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-07-04 19:02:22.071+00,2026-06-25 22:00:00+00,uk.xml,21491248,f,,N,-1
ca,2026-07-04 19:02:35.873+00,2026-07-04 19:02:40.472+00,ca.xml,1851227,f,,N,-1
us,2026-07-04 19:02:53.389+00,2026-07-04 19:02:53.39+00,cuba.xml,262316,f,,N,-1
au,2026-07-05 05:00:04.296+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-07-05 05:00:30.091+00,2026-06-30 22:00:00+00,ofac_sdn.xml,28693057,f,,N,-1
ch,2026-07-05 05:01:22.915+00,2026-06-16 22:00:00+00,ch.xml,39878767,f,,N,-1
nsdn,2026-07-05 05:01:45.48+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-07-05 05:01:49.177+00,2026-07-04 21:00:06.467+00,onu.xml,2171560,f,,N,-1
eu,2026-07-05 05:01:53.624+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-07-05 05:02:19.13+00,2026-06-25 22:00:00+00,uk.xml,21491248,f,,N,-1
ca,2026-07-05 05:02:34.1+00,2026-07-05 05:02:38.56+00,ca.xml,1851227,f,,N,-1
us,2026-07-05 05:02:53.382+00,2026-07-05 05:02:53.382+00,cuba.xml,262316,f,,N,-1
au,2026-07-05 19:00:05.847+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-07-05 19:00:28.973+00,2026-06-30 22:00:00+00,ofac_sdn.xml,28693057,f,,N,-1
ch,2026-07-05 19:01:18.554+00,2026-06-16 22:00:00+00,ch.xml,39878767,f,,N,-1
nsdn,2026-07-05 19:01:38.528+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-07-05 19:01:42.359+00,2026-07-04 21:00:06.467+00,onu.xml,2171560,f,,N,-1
eu,2026-07-05 19:01:48.097+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-07-05 19:02:09.227+00,2026-06-25 22:00:00+00,uk.xml,21491248,f,,N,-1
ca,2026-07-05 19:02:21.295+00,2026-07-05 19:02:25.813+00,ca.xml,1851227,f,,N,-1
