tipolista,dataimportazione,dataaggiornamento,nomefile,lunghezzafile,errore,md5file,aggiornamenti,numerosoggetti
ca,2026-02-28 06:01:02.194+00,2026-02-28 06:01:06.341+00,ca.xml,1734316,f,,N,-1
us,2026-02-28 06:01:09.161+00,2026-02-28 06:01:09.162+00,cuba.xml,262316,f,,N,-1
au,2026-02-28 20:00:03.394+00,2026-02-23 23:00:00+00,au.xlsx,1317576,f,,N,-1
sdn,2026-02-28 20:00:41.999+00,2026-02-26 23:00:00+00,ofac_sdn.xml,28080471,f,,N,-1
ch,2026-02-28 20:00:56.289+00,2026-02-23 23:00:00+00,ch.xml,37377902,f,,N,-1
nsdn,2026-02-28 20:01:05.72+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-02-28 20:01:08.079+00,2026-02-27 23:00:13.542+00,onu.xml,2025856,f,,N,-1
eu,2026-02-28 20:01:10.295+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-02-28 20:01:17.288+00,2026-02-26 23:00:00+00,uk.xml,20613181,f,,N,-1
ca,2026-02-28 20:01:21.362+00,2026-02-28 20:01:25.751+00,ca.xml,1734316,f,,N,-1
us,2026-02-28 20:01:28.215+00,2026-02-28 20:01:28.216+00,cuba.xml,262316,f,,N,-1
au,2026-03-01 06:00:06.143+00,2026-02-23 23:00:00+00,au.xlsx,1317576,f,,N,-1
sdn,2026-03-01 06:00:22.397+00,2026-02-26 23:00:00+00,ofac_sdn.xml,28080471,f,,N,-1
ch,2026-03-01 06:00:38.415+00,2026-02-23 23:00:00+00,ch.xml,37377902,f,,N,-1
nsdn,2026-03-01 06:00:48.866+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-01 06:00:51.292+00,2026-02-28 23:00:11.9+00,onu.xml,2025856,f,,N,-1
eu,2026-03-01 06:00:53.458+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-01 06:01:03.324+00,2026-02-26 23:00:00+00,uk.xml,20613181,f,,N,-1
ca,2026-03-01 06:01:07.153+00,2026-03-01 06:01:11.419+00,ca.xml,1734316,f,,N,-1
us,2026-03-01 06:01:14.21+00,2026-03-01 06:01:14.21+00,cuba.xml,262316,f,,N,-1
au,2026-03-04 06:00:03.394+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-04 06:00:18.115+00,2026-03-01 23:00:00+00,ofac_sdn.xml,28087187,f,,N,-1
ch,2026-03-04 06:00:35.062+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-04 06:00:59.143+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-04 06:01:01.901+00,2026-03-03 23:00:18.066+00,onu.xml,2025856,f,,N,-1
eu,2026-03-04 06:01:04.396+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-04 06:01:12.167+00,2026-03-01 23:00:00+00,uk.xml,20602131,f,,N,-1
ca,2026-03-04 06:01:17.144+00,2026-03-04 06:01:21.434+00,ca.xml,1734316,f,,N,-1
us,2026-03-04 06:01:24.137+00,2026-03-04 06:01:24.137+00,cuba.xml,262316,f,,N,-1
au,2026-03-04 20:00:09.732+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-04 20:00:29.672+00,2026-03-01 23:00:00+00,ofac_sdn.xml,28087187,f,,N,-1
ch,2026-03-04 20:00:45.188+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-04 20:01:02.246+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-04 20:01:04.701+00,2026-03-03 23:00:18.066+00,onu.xml,2025856,f,,N,-1
eu,2026-03-04 20:01:06.981+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-04 20:01:14.398+00,2026-03-01 23:00:00+00,uk.xml,20602131,f,,N,-1
ca,2026-03-04 20:01:19.01+00,2026-03-04 20:01:23.511+00,ca.xml,1733973,f,,N,-1
us,2026-03-04 20:01:26.22+00,2026-03-04 20:01:26.221+00,cuba.xml,262316,f,,N,-1
au,2026-03-05 06:00:00.441+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-05 06:00:27.767+00,2026-03-01 23:00:00+00,ofac_sdn.xml,28087187,f,,N,-1
ch,2026-03-05 06:00:42.11+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-05 06:01:17.138+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-05 06:01:19.693+00,2026-03-04 23:00:14.367+00,onu.xml,2025856,f,,N,-1
eu,2026-03-05 06:01:21.935+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-05 06:01:29.368+00,2026-03-01 23:00:00+00,uk.xml,20602131,f,,N,-1
ca,2026-03-05 06:01:33.767+00,2026-03-05 06:01:39.866+00,ca.xml,1733973,f,,N,-1
us,2026-03-05 06:01:42.647+00,2026-03-05 06:01:42.648+00,cuba.xml,262316,f,,N,-1
au,2026-03-05 20:00:02.394+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-05 20:00:19.06+00,2026-03-04 23:00:00+00,ofac_sdn.xml,28084925,f,,N,-1
ch,2026-03-05 20:00:37.326+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-05 20:00:53.884+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-05 20:00:56.445+00,2026-03-04 23:00:14.367+00,onu.xml,2025856,f,,N,-1
eu,2026-03-05 20:00:58.691+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-05 20:01:05.925+00,2026-03-01 23:00:00+00,uk.xml,20602131,f,,N,-1
ca,2026-03-05 20:01:10.354+00,2026-03-05 20:01:14.611+00,ca.xml,1733973,f,,N,-1
us,2026-03-05 20:01:17.067+00,2026-03-05 20:01:17.067+00,cuba.xml,262316,f,,N,-1
au,2026-03-06 06:00:05.512+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-06 06:00:22.339+00,2026-03-04 23:00:00+00,ofac_sdn.xml,28084925,f,,N,-1
ch,2026-03-06 06:00:38.588+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-06 06:00:54.936+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-06 06:00:57.736+00,2026-03-05 23:00:09.71+00,onu.xml,2025856,f,,N,-1
eu,2026-03-06 06:01:00.078+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-06 06:01:10.762+00,2026-03-01 23:00:00+00,uk.xml,20602131,f,,N,-1
ca,2026-03-06 06:01:15.067+00,2026-03-06 06:01:19.226+00,ca.xml,1733973,f,,N,-1
us,2026-03-06 06:01:22.055+00,2026-03-06 06:01:22.055+00,cuba.xml,262316,f,,N,-1
au,2026-03-06 20:00:06.853+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-06 20:00:27.289+00,2026-03-05 23:00:00+00,ofac_sdn.xml,28083421,f,,N,-1
ch,2026-03-06 20:00:42.158+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-06 20:00:53.651+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-06 20:00:56.017+00,2026-03-05 23:00:09.71+00,onu.xml,2025856,f,,N,-1
eu,2026-03-06 20:00:58.305+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-06 20:01:07.526+00,2026-03-05 23:00:00+00,uk.xml,20602205,f,,N,-1
ca,2026-03-06 20:01:11.89+00,2026-03-06 20:01:16.336+00,ca.xml,1733973,f,,N,-1
us,2026-03-06 20:01:19.196+00,2026-03-06 20:01:19.196+00,cuba.xml,262316,f,,N,-1
au,2026-03-07 06:00:07.843+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-07 06:00:23.15+00,2026-03-05 23:00:00+00,ofac_sdn.xml,28083421,f,,N,-1
ch,2026-03-07 06:00:39.914+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-07 06:00:49.587+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-07 06:00:52.031+00,2026-03-06 23:00:15.96+00,onu.xml,2025856,f,,N,-1
eu,2026-03-07 06:00:54.306+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-07 06:01:03.312+00,2026-03-05 23:00:00+00,uk.xml,20602205,f,,N,-1
ca,2026-03-07 06:01:07.248+00,2026-03-07 06:01:11.425+00,ca.xml,1733973,f,,N,-1
us,2026-03-07 06:01:14.07+00,2026-03-07 06:01:14.071+00,cuba.xml,262316,f,,N,-1
au,2026-03-07 20:00:08.829+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-07 20:00:24.007+00,2026-03-05 23:00:00+00,ofac_sdn.xml,28083421,f,,N,-1
ch,2026-03-07 20:00:38.762+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-07 20:00:49.973+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-07 20:00:52.368+00,2026-03-06 23:00:15.96+00,onu.xml,2025856,f,,N,-1
eu,2026-03-07 20:00:54.592+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-07 20:01:01.919+00,2026-03-05 23:00:00+00,uk.xml,20602205,f,,N,-1
ca,2026-03-07 20:01:06.423+00,2026-03-07 20:01:10.79+00,ca.xml,1733973,f,,N,-1
us,2026-03-07 20:01:13.462+00,2026-03-07 20:01:13.463+00,cuba.xml,262316,f,,N,-1
au,2026-03-08 06:00:09.717+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-08 06:00:30.075+00,2026-03-05 23:00:00+00,ofac_sdn.xml,28083421,f,,N,-1
ch,2026-03-08 06:00:45.331+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-08 06:00:54.34+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-08 06:00:56.742+00,2026-03-07 23:00:15.973+00,onu.xml,2025856,f,,N,-1
eu,2026-03-08 06:00:59.072+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-08 06:01:08.121+00,2026-03-05 23:00:00+00,uk.xml,20602205,f,,N,-1
ca,2026-03-08 06:01:12.918+00,2026-03-08 06:01:17.068+00,ca.xml,1733973,f,,N,-1
us,2026-03-08 06:01:19.866+00,2026-03-08 06:01:19.867+00,cuba.xml,262316,f,,N,-1
au,2026-03-08 20:00:04.817+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-08 20:00:21.588+00,2026-03-05 23:00:00+00,ofac_sdn.xml,28083421,f,,N,-1
ch,2026-03-08 20:00:35.497+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-08 20:00:44.387+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-08 20:00:46.818+00,2026-03-07 23:00:15.973+00,onu.xml,2025856,f,,N,-1
eu,2026-03-08 20:00:49.199+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-08 20:00:56.483+00,2026-03-05 23:00:00+00,uk.xml,20602205,f,,N,-1
ca,2026-03-08 20:01:00.988+00,2026-03-08 20:01:05.281+00,ca.xml,1733973,f,,N,-1
us,2026-03-08 20:01:08.033+00,2026-03-08 20:01:08.034+00,cuba.xml,262316,f,,N,-1
au,2026-03-09 06:00:05.256+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-09 06:00:23.736+00,2026-03-05 23:00:00+00,ofac_sdn.xml,28083421,f,,N,-1
ch,2026-03-09 06:00:39.762+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-09 06:00:54.435+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-09 06:00:57.052+00,2026-03-07 23:00:15.973+00,onu.xml,2025856,f,,N,-1
eu,2026-03-09 06:00:59.395+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-09 06:01:07.044+00,2026-03-05 23:00:00+00,uk.xml,20602205,f,,N,-1
ca,2026-03-09 06:01:11.303+00,2026-03-09 06:01:15.745+00,ca.xml,1733973,f,,N,-1
us,2026-03-09 06:01:18.748+00,2026-03-09 06:01:18.749+00,cuba.xml,262316,f,,N,-1
au,2026-03-09 20:00:06.622+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-09 20:00:27.062+00,2026-03-08 23:00:00+00,ofac_sdn.xml,28085042,f,,N,-1
ch,2026-03-09 20:00:44.112+00,2026-02-26 23:00:00+00,ch.xml,37384723,f,,N,-1
nsdn,2026-03-09 20:00:53.086+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-09 20:00:55.517+00,2026-03-07 23:00:15.973+00,onu.xml,2025856,f,,N,-1
eu,2026-03-09 20:00:57.895+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-09 20:01:05.946+00,2026-03-05 23:00:00+00,uk.xml,20602205,f,,N,-1
ca,2026-03-09 20:01:10.689+00,2026-03-09 20:01:15.041+00,ca.xml,1733973,f,,N,-1
us,2026-03-09 20:01:18.28+00,2026-03-09 20:01:18.28+00,cuba.xml,262316,f,,N,-1
au,2026-03-10 06:00:08.111+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-10 06:00:23.969+00,2026-03-08 23:00:00+00,ofac_sdn.xml,28085042,f,,N,-1
ch,2026-03-10 06:00:38.104+00,2026-03-09 23:00:00+00,ch.xml,37443716,f,,N,-1
nsdn,2026-03-10 06:00:50.429+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-10 06:00:52.879+00,2026-03-09 23:00:09.461+00,onu.xml,2025856,f,,N,-1
eu,2026-03-10 06:00:55.179+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-10 06:01:04.091+00,2026-03-05 23:00:00+00,uk.xml,20602205,f,,N,-1
ca,2026-03-10 06:01:08.501+00,2026-03-10 06:01:12.863+00,ca.xml,1733973,f,,N,-1
us,2026-03-10 06:01:15.46+00,2026-03-10 06:01:15.462+00,cuba.xml,262316,f,,N,-1
au,2026-03-10 20:00:09.189+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-10 20:00:26.398+00,2026-03-08 23:00:00+00,ofac_sdn.xml,28085042,f,,N,-1
ch,2026-03-10 20:00:40.763+00,2026-03-09 23:00:00+00,ch.xml,37443716,f,,N,-1
nsdn,2026-03-10 20:00:54.234+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-10 20:00:56.954+00,2026-03-09 23:00:09.461+00,onu.xml,2025856,f,,N,-1
eu,2026-03-10 20:00:59.173+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-10 20:01:08.544+00,2026-03-05 23:00:00+00,uk.xml,20602205,f,,N,-1
ca,2026-03-10 20:01:12.903+00,2026-03-10 20:01:17.298+00,ca.xml,1733973,f,,N,-1
us,2026-03-10 20:01:20.136+00,2026-03-10 20:01:20.137+00,cuba.xml,262316,f,,N,-1
au,2026-03-11 06:00:08.986+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-11 06:00:23.892+00,2026-03-08 23:00:00+00,ofac_sdn.xml,28085042,f,,N,-1
ch,2026-03-11 06:00:37.983+00,2026-03-09 23:00:00+00,ch.xml,37443716,f,,N,-1
nsdn,2026-03-11 06:01:04.485+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-11 06:01:07.016+00,2026-03-11 03:50:04.918+00,onu.xml,2042119,f,,N,-1
eu,2026-03-11 06:01:09.464+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-11 06:01:18.548+00,2026-03-05 23:00:00+00,uk.xml,20602205,f,,N,-1
ca,2026-03-11 06:01:22.949+00,2026-03-11 06:01:27.114+00,ca.xml,1733973,f,,N,-1
us,2026-03-11 06:01:29.692+00,2026-03-11 06:01:29.693+00,cuba.xml,262316,f,,N,-1
au,2026-03-11 20:00:00.369+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-11 20:00:17.147+00,2026-03-08 23:00:00+00,ofac_sdn.xml,28085042,f,,N,-1
ch,2026-03-11 20:00:36.468+00,2026-03-09 23:00:00+00,ch.xml,37823917,f,,N,-1
nsdn,2026-03-11 20:00:45.24+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-11 20:00:47.61+00,2026-03-11 13:34:25.132+00,onu.xml,2042933,f,,N,-1
eu,2026-03-11 20:00:50.037+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-11 20:00:57.311+00,2026-03-10 23:00:00+00,uk.xml,20621157,f,,N,-1
ca,2026-03-11 20:01:01.787+00,2026-03-11 20:01:06.039+00,ca.xml,1733973,f,,N,-1
us,2026-03-11 20:01:08.731+00,2026-03-11 20:01:08.732+00,cuba.xml,262316,f,,N,-1
au,2026-03-12 06:00:01.778+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-12 06:00:17.916+00,2026-03-08 23:00:00+00,ofac_sdn.xml,28085042,f,,N,-1
ch,2026-03-12 06:00:35.008+00,2026-03-09 23:00:00+00,ch.xml,37823917,f,,N,-1
nsdn,2026-03-12 06:01:02.541+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-12 06:01:05.093+00,2026-03-11 23:00:07.301+00,onu.xml,2042933,f,,N,-1
eu,2026-03-12 06:01:07.486+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-12 06:01:16.664+00,2026-03-10 23:00:00+00,uk.xml,20621157,f,,N,-1
ca,2026-03-12 06:01:21.504+00,2026-03-12 06:01:26.034+00,ca.xml,1733973,f,,N,-1
us,2026-03-12 06:01:28.7+00,2026-03-12 06:01:28.701+00,cuba.xml,262316,f,,N,-1
au,2026-03-12 20:00:01.32+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-12 20:00:18.07+00,2026-03-11 23:00:00+00,ofac_sdn.xml,28108413,f,,N,-1
ch,2026-03-12 20:00:34.331+00,2026-03-09 23:00:00+00,ch.xml,37823917,f,,N,-1
nsdn,2026-03-12 20:01:04.23+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-12 20:01:06.708+00,2026-03-12 14:52:24.179+00,onu.xml,2043664,f,,N,-1
eu,2026-03-12 20:01:09.167+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-12 20:01:17.911+00,2026-03-11 23:00:00+00,uk.xml,20621193,f,,N,-1
ca,2026-03-12 20:01:22.182+00,2026-03-12 20:01:26.514+00,ca.xml,1733973,f,,N,-1
us,2026-03-12 20:01:29.088+00,2026-03-12 20:01:29.089+00,cuba.xml,262316,f,,N,-1
au,2026-03-13 06:00:02.112+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-13 06:00:19.446+00,2026-03-11 23:00:00+00,ofac_sdn.xml,28108413,f,,N,-1
ch,2026-03-13 06:00:35.45+00,2026-03-09 23:00:00+00,ch.xml,37823917,f,,N,-1
nsdn,2026-03-13 06:00:56.563+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-13 06:00:59.191+00,2026-03-12 22:00:02.135+00,onu.xml,2043664,f,,N,-1
eu,2026-03-13 06:01:01.423+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-13 06:01:10.058+00,2026-03-11 23:00:00+00,uk.xml,20621193,f,,N,-1
ca,2026-03-13 06:01:14.287+00,2026-03-13 06:01:18.443+00,ca.xml,1733973,f,,N,-1
us,2026-03-13 06:01:21.085+00,2026-03-13 06:01:21.086+00,cuba.xml,262316,f,,N,-1
au,2026-03-13 20:00:02.404+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-13 20:00:21.629+00,2026-03-12 23:00:00+00,ofac_sdn.xml,28099517,f,,N,-1
ch,2026-03-13 20:00:37.339+00,2026-03-09 23:00:00+00,ch.xml,37823917,f,,N,-1
nsdn,2026-03-13 20:00:59.552+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-13 20:01:02.071+00,2026-03-12 22:00:02.135+00,onu.xml,2043664,f,,N,-1
eu,2026-03-13 20:01:04.323+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-13 20:01:12.385+00,2026-03-11 23:00:00+00,uk.xml,20621193,f,,N,-1
ca,2026-03-13 20:01:16.851+00,2026-03-13 20:01:21.273+00,ca.xml,1733973,f,,N,-1
us,2026-03-13 20:01:24.581+00,2026-03-13 20:01:24.581+00,cuba.xml,262316,f,,N,-1
au,2026-03-14 06:00:08.908+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-14 06:00:25.743+00,2026-03-12 23:00:00+00,ofac_sdn.xml,28099517,f,,N,-1
ch,2026-03-14 06:00:42.694+00,2026-03-09 23:00:00+00,ch.xml,37823917,f,,N,-1
nsdn,2026-03-14 06:01:10.109+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-14 06:01:12.601+00,2026-03-13 22:00:02.135+00,onu.xml,2043664,f,,N,-1
eu,2026-03-14 06:01:15.01+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-14 06:01:24.072+00,2026-03-11 23:00:00+00,uk.xml,20621193,f,,N,-1
ca,2026-03-14 06:01:28.58+00,2026-03-14 06:01:32.757+00,ca.xml,1733973,f,,N,-1
us,2026-03-14 06:01:36.175+00,2026-03-14 06:01:36.176+00,cuba.xml,262316,f,,N,-1
au,2026-03-14 20:00:05.093+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-14 20:00:22.809+00,2026-03-12 23:00:00+00,ofac_sdn.xml,28099517,f,,N,-1
ch,2026-03-14 20:00:37.712+00,2026-03-09 23:00:00+00,ch.xml,37823917,f,,N,-1
nsdn,2026-03-14 20:00:50.699+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-14 20:00:53.287+00,2026-03-13 22:00:02.135+00,onu.xml,2043664,f,,N,-1
eu,2026-03-14 20:00:55.635+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-14 20:01:03.404+00,2026-03-11 23:00:00+00,uk.xml,20621193,f,,N,-1
ca,2026-03-14 20:01:07.839+00,2026-03-14 20:01:12.225+00,ca.xml,1733973,f,,N,-1
us,2026-03-14 20:01:15+00,2026-03-14 20:01:15.002+00,cuba.xml,262316,f,,N,-1
au,2026-03-15 06:00:06.375+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-15 06:00:26.291+00,2026-03-12 23:00:00+00,ofac_sdn.xml,28099517,f,,N,-1
ch,2026-03-15 06:00:40.513+00,2026-03-09 23:00:00+00,ch.xml,37823917,f,,N,-1
nsdn,2026-03-15 06:00:59.483+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-15 06:01:02.076+00,2026-03-14 22:00:08.084+00,onu.xml,2043664,f,,N,-1
eu,2026-03-15 06:01:04.306+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-15 06:01:12.165+00,2026-03-11 23:00:00+00,uk.xml,20621193,f,,N,-1
ca,2026-03-15 06:01:16.889+00,2026-03-15 06:01:21.364+00,ca.xml,1733973,f,,N,-1
us,2026-03-15 06:01:24.39+00,2026-03-15 06:01:24.391+00,cuba.xml,262316,f,,N,-1
au,2026-03-15 20:00:08.749+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-15 20:00:24.37+00,2026-03-12 23:00:00+00,ofac_sdn.xml,28099517,f,,N,-1
ch,2026-03-15 20:00:38.931+00,2026-03-09 23:00:00+00,ch.xml,37823917,f,,N,-1
nsdn,2026-03-15 20:00:51.781+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-15 20:00:54.152+00,2026-03-14 22:00:08.084+00,onu.xml,2043664,f,,N,-1
eu,2026-03-15 20:00:56.669+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-15 20:01:04.136+00,2026-03-11 23:00:00+00,uk.xml,20621193,f,,N,-1
ca,2026-03-15 20:01:08.667+00,2026-03-15 20:01:13.281+00,ca.xml,1733973,f,,N,-1
us,2026-03-15 20:01:16.024+00,2026-03-15 20:01:16.025+00,cuba.xml,262316,f,,N,-1
au,2026-03-16 06:00:06.697+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-16 06:00:32.374+00,2026-03-12 23:00:00+00,ofac_sdn.xml,28099517,f,,N,-1
ch,2026-03-16 06:00:49.047+00,2026-03-09 23:00:00+00,ch.xml,37823917,f,,N,-1
nsdn,2026-03-16 06:01:14.78+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-16 06:01:18.605+00,2026-03-14 22:00:08.084+00,onu.xml,2043664,f,,N,-1
eu,2026-03-16 06:01:20.886+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-16 06:01:30.046+00,2026-03-11 23:00:00+00,uk.xml,20621193,f,,N,-1
ca,2026-03-16 06:01:35.001+00,2026-03-16 06:01:39.259+00,ca.xml,1733973,f,,N,-1
us,2026-03-16 06:01:42.359+00,2026-03-16 06:01:42.36+00,cuba.xml,262316,f,,N,-1
au,2026-03-16 20:00:08.06+00,2026-02-25 23:00:00+00,au.xlsx,1319859,f,,N,-1
sdn,2026-03-16 20:00:28.302+00,2026-03-12 23:00:00+00,ofac_sdn.xml,28099517,f,,N,-1
ch,2026-03-16 20:00:44.465+00,2026-03-09 23:00:00+00,ch.xml,37823917,f,,N,-1
nsdn,2026-03-16 20:00:56.369+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-03-16 20:00:58.884+00,2026-03-14 22:00:08.084+00,onu.xml,2043664,f,,N,-1
eu,2026-03-16 20:01:01.194+00,2026-02-01 23:00:00+00,euea.xml,24146433,f,,N,-1
uk,2026-03-16 20:01:10.533+00,2026-03-15 23:00:00+00,uk.xml,20620436,f,,N,-1
ca,2026-03-16 20:01:15.445+00,2026-03-16 20:01:19.598+00,ca.xml,1733973,f,,N,-1
